Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C18, C19, C20, C23, C26, C27, C28, C29, C35, C39, C40, C41, C42, C43, C6, C7, C9",402,24,100nF,C307331
"C10, C22, C37, C8",402,4,1uF,C52923
C17,402,1,4.7nF,C1538
"C2, C3",402,2,22pF,C1555
"C21, C30, C31, C32",603,4,10uF,C96446
"C24, C25",603,2,22uF,C59461
"C33, C34, C44",603,3,2.2uF,C23630
"C36, C38",402,2,2.2nF,C1531
"C4, C5",402,2,4.7uF,C23733
D1,D_SOD-323,1,1N4148WS,C2128
DS1,WC1602A,1,WC1602A,C5329588
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_DATA,C165948
J4,DIN5-180,1,MIDI in,C2939344
J5,PJ-320,1,PJ-320-3P SMT,C17701688
J8,TF01A,1,TF003,C91145
L1,1008,1,3.3uH,C222831
"R1, R34",402,2,4k7,C25905
"R10, R11",402,2,470,C25117
R12,402,1,0,C21376
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R30",402,17,330,C25104
"R2, R3",402,2,1k,C11702
"R29, R6",402,2,1M,C26083
"R4, R5",402,2,27,C25092
"R7, R8",402,2,5k1,C25905
R9,402,1,220,C25091
RV1,Potentiometer_Bourns_TC33X_Vertical,1,10k,C719176
"SW1, SW2",SW_SPST_TL3342,2,SW_SPST,C318884
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350A,C42411118
"U10, U9",TSSOP-14_4.4x5mm_P0.65mm,2,74HC164,C5612
"U11, U12",7SegmentLED_LTS6760_LTS6780,2,SM420501N/8,C252201
"U14, U3, U4, U5",SOT-23-6,4,USB TVS,C2827654
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,DIP-6_W8.89mm_SMDSocket_LongPads,1,H11L1,C20612622
U8,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100A,C131154
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C133334
